awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
2234815,2022,370246.0,GEO,AGS,Old Dominion University Research Foundation,VA,Virginia,313387.0,-56859.0,Virginia
2234855,2022,40883.0,GEO,EAR,Whitman College,WA,Washington,40883.0,0.0,Washington
2234856,2022,40152.0,GEO,EAR,University of Montana,MT,Montana,40152.0,0.0,Montana
2234888,2022,370871.0,ENG,CMMI,"OHIO STATE UNIVERSITY, THE",OH,Ohio,370910.0,39.0,Ohio
2234941,2022,49000.0,MPS,DMR,Materials Research Society,PA,Pennsylvania,49000.0,0.0,Pennsylvania
2234944,2022,50000.0,TIP,TI,University of Arkansas Medical Sciences Campus,AR,Arkansas,50000.0,0.0,Arkansas
2234970,2022,199999.0,BIO,DEB,University of Massachusetts Boston,MA,Massachusetts,199999.0,0.0,Massachusetts
2234986,2022,50000.0,TIP,TI,University of North Carolina at Charlotte,NC,North Carolina,50000.0,0.0,North Carolina
2235006,2022,260201.0,SBE,SES,Wesleyan University,CT,Connecticut,260201.0,0.0,Connecticut
2235007,2022,19936.0,SBE,SES,Bowdoin College,ME,Maine,19936.0,0.0,Maine
2235008,2022,19870.0,SBE,SES,Washington State University,WA,Washington,19870.0,0.0,Washington
2235025,2022,511000.0,EDU,DGE,University of Maryland Baltimore County,MD,Maryland,46000.0,-465000.0,Maryland
2235034,2022,463316.0,EDU,DGE,University of Massachusetts Boston,MA,Massachusetts,92000.0,-371316.0,Massachusetts
2235036,2022,713166.0,EDU,DGE,University of Mississippi,MS,Mississippi,92000.0,-621166.0,Mississippi
2235038,2022,958000.0,EDU,DGE,University of New Hampshire,NH,New Hampshire,152500.0,-805500.0,New Hampshire
2235055,2022,456833.0,EDU,DGE,University of North Carolina at Charlotte,NC,North Carolina,218333.0,-238500.0,North Carolina
2235060,2022,254000.0,EDU,DGE,University of Oklahoma Health Sciences Center,OK,Oklahoma,46000.0,-208000.0,Oklahoma
2235061,2022,32557.0,GEO,OPP,SUNY at Stony Brook,NY,New York,32557.0,0.0,New York
2235063,2022,300000.0,ENG,ECCS,Carnegie Mellon University,PA,Pennsylvania,300000.0,0.0,Pennsylvania
2235078,2022,19675.0,CSE,CNS,University of Florida,FL,Florida,19675.0,0.0,Florida
