awardeeName,count_total,total_obligated_funds
"Parekh, Shalin",1,190000
"Parker, Charles William",2,340000
"Parker, Gregory J",2,380000
Parkland College,1,149935
Pasadena City College,1,12763017
Passaic County Community College,1,1499363
"Patel, Dhruvit",1,91666
"Patel, Shreya Kiritbhai",1,300000
Paul Smith's College of Arts and Sciences,1,379750
"Pegan, Teresa",1,240000
"Pena, Jessica",1,300000
"Pena, Tara",1,300000
"Pennington, Lillie K",2,480000
Pennsylvania College of Technology,3,3622791
Pennsylvania State Univ University Park,531,355946427
Pepperdine University,4,3502759
"Perea, Melecio",1,300000
"Perez, Evan Hunt",2,600000
"Petersen, Rachel",1,160000
"Pheronym, Inc.",2,2428462
Philadelphia Area Center for History of Science,1,91674
Philadelphia College of Osteopathic Medicine,2,1033599
"Phillips, Michael Robert",1,300000
"Phillips, Tristan",2,380000
Phoenix Bioinformatics Corporation,4,3185191
Piedmont College,1,91794
Pikes Peak Community College,1,165383
"Pillai, Mohandas",1,150000
Pima County Community College District- NORTHWEST CAMPUS,1,266602
Planetary Science Institute,14,3945370
Plymouth State University,2,679815
Point Reyes Bird Observatory,1,4083714
Pomona College,13,5781716
Portland State University,75,48926428
Prairie View A & M University,44,24893948
"Prall, Wil",2,498000
Pratt Institute,3,10123525
Precision Neuroscopics,1,1275000
Predictive Science Incorporated,2,2236209
Prince George's Community College,1,4638192
Princeton University,247,242789516
"Prokhorov, Andrei",1,150000
Providence College,6,2072627
Purdue University,515,330473733
"Pyrch, Mikaela",2,600000
QAS.AI INC,1,1007862
"QUADRALYNX, INC",1,983137
QUALITY EDUCATION FOR MINORITIES NETWORK,11,6306541
QUANTIREAL INC.,2,550000
"QUANTIVLY, INC.",1,1174907
"QUANTUM COPPER, INC.",2,549220
QUARKSEN LLC,1,275000
Quincy University,2,722992
"Quinlan, Eamon Matthew",2,300000
RAINBOW HOSPITALITY LLC,1,302965
RAPID RADICALS TECHNOLOGY LLC,1,1180292
"RAVEL HOLDINGS, INC.",1,994863
RCAM TECHNOLOGIES,1,999496
REBORNC LLC,2,550000
"RECON RF, INC.",1,1199964
REEFGEN INC.,2,3310632
"REFIBERED, INC.",1,274955
"REFLODX, INC.",1,1000000
REHABNETICS MEDICAL LLC,1,275000
"RELAI, INC.",1,275000
RENEWCO2 LLC,1,981840
"RESELUTE, INC.",1,998921
RESET WATER LLC,1,275000
RESONANCE SIGNATURES LLC,1,294997
"RESONANTIA DIAGNOSTICS, INC.",2,610000
"RETHINK LEARNING, INC.",3,1959604
RETRN BIOWORKS INC.,1,275000
"RETURN TO VENDOR, CO",2,550000
"REVEL TECHNOLOGIES, INC.",1,1500000
"REVIVBIO, INC",1,275000
REVIVE BIOTECHNOLOGY INC.,1,998356
REVTERRA CORPORATION,1,1000000
RG Research Group,2,3614575
RICH EARTH LLC,2,3358266
"RMC Research Corporation, OR",1,747582
"ROBIGO, INC.",1,274999
ROCKET PROPULSION SYSTEMS LLC,1,1231962
"ROCKY MOUNTAIN INNOVATION INITIATIVE, INC.",1,15000000
ROOTWORDS INC,1,271780
ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,2,212000
ROSEBUD BIOSCIENCES INC.,1,274829
ROWBOT SYSTEMS LLC,2,2000000
ROWLAND ROBERT REEVES,2,550000
RSTREAM RECYCLING INC,1,995163
RT MICRODX INC.,1,274362
"RUBI LABORATORIES, LLC",2,1939922
RUNESTONE ACADEMY LTD,1,66000
RUSH UNIVERSITY MEDICAL CENTER,1,25638
RUSHNU INC,2,550000
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",6,1076301
"RYP LABS, INC.",1,996291
Radford University,4,592015
"Raksit, Arpon",2,300000
Ramapo College of New Jersey,7,3982280
"Ramirez-Corona, Bryan A",2,498000
Rancho Santa Ana Botanic Garden,2,578116
Rancho Santiago Community College District,2,700000
Rand Corporation,14,9830708
Randolph-Macon College,5,1135895
"Rasmussen, Alexander James",1,150000
"Rathje, Steve",1,160000
"Ray, Allyson",1,240000
"Ray, Courtenay A",1,240000
"Raydiant Oximetry, Inc",1,1699269
Reed College,17,8500341
"Reeves, Lily",2,380000
Regents of the University of Idaho,65,90056111
Regents of the University of Michigan - Ann Arbor,613,457491681
Regents of the University of Michigan - Dearborn,25,10432380
Regents of the University of Michigan - Flint,10,3265018
Regis College,1,299848
Regis University,1,200000
Rehabilitation Institute of Chicago,1,1499013
Reinhardt College,2,1485106
Rensselaer Polytechnic Institute,81,36603488
Renton Technical College,1,326990
Research Foundation CUNY - Advanced Science Research Center,15,5199051
Research Foundation For Mental Hygiene Inc,1,1241250
Research Foundation Of The City University Of New York (Lehman),12,11255162
Research Foundation of the City University of New York,3,1212842
Research Triangle Institute,1,299999
"Respira Labs, Inc.",1,1649275
Restore America's Estuaries,1,49919
Reuben H. Fleet Science Center,1,380732
"Rezchikov, Semen Kirillovich",1,150000
Rhode Island Hospital,1,299708
Rhode Island School of Design,3,1278638
Rhodes College,4,2202945
Rider University,4,909266
Rio Hondo College,3,2006386
Ripon College,2,519310
Riverside Community College District/Riverside City College,1,200000
Roane State Community College,2,1092302
Rochester Institute of Tech,105,50830427
Rockefeller University,2,2600056
Rockhurst University,1,1000000
Rocky Mountain Biological Laboratory,5,2350411
Rocky Mountain Institute,2,984770
Roger Williams University,2,573909
Rollins College,5,1781949
Roosevelt University,3,3546660
"Rosa Raices, Jorge Luis",2,600000
Rose State College,1,400000
Rose-Hulman Institute of Technology,6,996824
"Ross, Catherine Haggard",1,180000
"Roth, Jamila",1,240000
Rowan College of South Jersey -- Cumberland Campus,2,4290164
Rowan University,51,17992654
"Rozo-Lopez, Paula C",2,480000
"Rubin, Juliette",1,240000
"Russell-Madonia, Jacob",1,150000
Rutgers University Camden,15,7393779
Rutgers University New Brunswick,276,169342153
Rutgers University Newark,48,19563138
"Rutgers, The State University of New Jersey-RBHS-Robert Wood",2,1318798
"Rutkowski, Danielle",1,240000
"Rybarczyk, Daniel R",2,660000
"SAKURA SOFTWARE SOLUTIONS, LLC",1,274880
"SALIENT PREDICTIONS, INC.",1,274912
SAMSAT,1,399251
SAN DIEGO COMMUNITY COLLEGE DISTRICT,3,668712
SANGTERA INC,1,1184000
SAVIMBO INC.,1,295000
SCORPIDO PHOTONICS,1,274990
SCRIPT BIOSCIENCES INC,1,274438
"SEMEN AND EMBRYO ADVANCED REPRODUCTIVE TECHNOLOGIES (SMART), LLC",1,294996
"SEMERGYTECH, INC.",1,1000000
"SENOGUARD, INC.",1,999545
SENSEER HEALTH INC.,1,1714851
SETI Institute,7,3258947
SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,1,159222
SHARON WASHINGTON,2,549152
SHELL MUSEUM EDUCATIONAL FOUNDATION,1,121381
"SHROOM-E CO., LLC",1,275000
SIGNAL-WISE LLC,2,590000
SILICON ASSURANCE LLC,1,1089325
"SILVEC BIOLOGICS, INC.",2,1989878
SIRENOPT INC,1,274770
SITKA SOUND SCIENCE CENTER INC,3,5599119
"SIXLINE SEMICONDUCTOR, INC.",1,274503
SKILLSGAPP LLC,1,274428
"SKIP TECHNOLOGY, INC.",1,978993
"SKYGIG, LLC",1,1199999
SMART GIRLS HQ LLC,1,999800
SMARTCHARTS INC.,2,550000
"SOARCE, INC.",1,275000
"SOCTERA, INC.",1,1000000
SOFI TEC LLC,1,256000
"SOFTHREAD, INC.",1,984905
SOILSERDEM LLC,2,2397302
"SOLARID AR, LLC.",2,1962336
SOLIOME LLC,2,2000000
"SONOGEN MEDICAL, INC.",1,275000
"SONOVANCE, INC.",1,295000
"SONOVOICE, INC.",2,590000
SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,1,998406
"SOWN TO GROW, INC.",1,275000
SPACE KINETIC CORP.,2,550000
SPACE SCIENCE INSTITUTE,9,2656225
"SPEARSTONE SOLUTIONS, LLC",1,305000
"SPECTACULAR LABS, INC.",1,275000
SRI International,15,24923162
STARNAV LLC,1,976584
"START International, Inc.",5,2096450
STEG AI CORPORATION,1,1000000
STL SCIENTIFIC LLC,1,974356
"STORX TECHNOLOGIES, INC.",2,2391470
STUDENT RESEARCH & DEVELOPMENT,2,1999800
"SUFFICIENTLY ADVANCED, INC.",1,275000
"SUNTHETICS, INC.",1,1000000
SUNY Adirondack,1,214976
SUNY College at Brockport,4,2009688
SUNY College at Buffalo,1,249934
SUNY College at Fredonia,1,336834
SUNY College at Geneseo,8,5383933
SUNY College at New Paltz,2,681048
SUNY College at Old Westbury,6,971878
SUNY College at Oneonta,4,1426306
SUNY College at Oswego,9,2804795
SUNY College at Potsdam,3,1340226
SUNY College of Environmental Science and Forestry,25,8899036
SUNY Empire State College,1,327850
SUNY Onondaga Community College,3,1086105
SUNY Polytechnic Institute,9,15411671
SUNY at Albany,78,36074421
SUNY at Binghamton,83,39829800
SUNY at Buffalo,187,127009874
SUNY at Stony Brook,224,129097570
"SUNY, Upstate Medical University",1,214612
"SUPERCLEAN GLASS, INC.",1,1000000
"SUPERIOR STATISTICAL RESEARCH, LLC",1,800000
SUSMAX LLC,1,1125000
"SYNSORYBIO, INC.",1,275000
"SYNTHETIC VECTOR DESIGNS, LLC",1,294999
SYZYGY OPTICS LLC,1,275000
Sacred Heart University,3,3019722
Saddleback College,3,12936659
"SageFox Consulting Group, LLC",2,773270
Saginaw Chippewa Tribal College,1,239221
"Sahi, Razia S",2,315834
Saint Augustine's College,10,2344358
Saint Bonaventure University,1,205214
Saint Edward's University,1,629641
Saint Francis University,2,799454
Saint John's University,7,2738496
Saint Joseph's College,2,1150147
Saint Lawrence University,3,212884
"Saint Leo University, Inc.",1,1199988
Saint Louis University,31,16183750
Saint Martin's University,1,153169
Saint Mary's College of California,5,1715036
Saint Mary's University of Minnesota,1,946670
Saint Michael's College,1,134481
Saint Vincent College,3,768526
Salem State University,1,268744
Salisbury University,4,1563084
Salish Kootenai College,9,9791681
Salt Lake Community College,3,1801938
Salve Regina University,3,2111057
Sam Houston State University,11,5094197
Samford University,1,302653
San Antonio College,2,363600
San Diego Society of Natural History,1,123065
San Diego State University Foundation,107,59188506
San Francisco State University,50,22116221
San Jacinto College District,4,2341411
San Jose State University Foundation,54,32425677
San Mateo County Community College District,2,1590158
"Sanchez, Andre",1,300000
"Sanchez, Anthony",1,150000
"Sanchez, Joshua J",2,600000
"Sanchez, Mario",1,150000
"Sanchez, Natalie Nicole",1,300000
"Sandoval-Powers, Megan A",1,240000
Santa Barbara Museum of Natural History,2,734170
Santa Clara University,23,10155705
Santa Fe College,1,570729
Santa Fe Community College,2,730084
Santa Fe Institute,6,2211224
Santa Monica College,1,2493400
"Santiago, Ty J",1,200000
Sarah Lawrence College,1,213295
"Sarro, Erica",1,240000
"Sasya, LLC",2,1990478
Savage Medical Inc.,1,999742
Savannah State University,3,4897713
"Schmidt, Steven E",2,276000
"Schock, Nolan Jeffry",2,380000
"School District No.1j Multnomah County, Or",2,2176028
School for American Research,1,75612
"Schulz, Aimee J",2,498000
"Science Communication Lab, Inc.",1,2741446
Science Museum of Minnesota,6,8124060
Scientific Committee on Oceanic Research (SCOR),4,5127606
Scripps College,6,2858221
Sea Education Association,1,83939
Sea Research Foundation,3,835571
Sealaska Heritage Institute,1,314857
"Sears, Caitlyn",1,170000
Seattle Community College District Office,3,2910382
Seattle Pacific University,4,2334194
Seattle University,7,3831193
"Seelinger, George H",1,190000
"Seligman, Darryl Zachary",1,220000
"Senger, Andrew",1,150000
"Serinus Labs, Inc.",2,2999842
Sesame Workshop,2,4600000
Seton Hall University,1,195000
"Seyler, Caroline Elizabeth",1,180000
"Shah, Shailee",2,480000
Shaw University,3,1142188
"Sheffer, Monica M",2,480000
Shepherd University,1,1499993
"Sherman, Brynn E",1,160000
"Sherman-Bennett, Melissa U",1,150000
"Sherpa, Sonam Futi",1,180000
Shoreline Community College,2,926840
"Short, Aidan William",2,498000
Siena College,2,591321
Siena Heights University,2,3000000
Sierra Streams Institute,1,114919
Silvis Materials,2,1999046
Simmons University,3,1135631
Simon                   Joseph,1,320000
"Simonis, Molly C",1,0
Simpson College,1,338845
"Simpson, Austyn",1,150000
Sinclair Community College,5,2802143
Sitka Tribe of Alaska,2,3225722
Sitting Bull College,1,898948
Skidmore College,7,2462365
Slippery Rock University of Pennsylvania,1,171885
Sloan Kettering Institute For Cancer Research,2,1050084
Smith College,28,8840320
"Smith, Jason D",1,170000
Smithsonian Institution,26,9467996
Smithsonian Institution Astrophysical Observatory,16,30209248
"Snead, Anthony Andrew",2,480000
Social Science Research Council,1,908042
Society For Developmental Biol,1,90000
Society For Industrial and Applied Math (SIAM),3,1636016
Society for In Vitro Biology,1,60503
Society for Personality and Social Psychology,1,368822
Society for Social Studies of Science,1,101000
Society of Manufacturing Engineers,1,46448
Sonoma State University,6,5278670
South Carolina State University,1,100000
South Central College,1,611234
South Dakota Board of Regents,3,40998750
South Dakota School of Mines and Technology,26,34475021
South Dakota State University,24,19295838
South Florida State College,3,1699991
Southeast Community College,1,49198
Southeast Missouri State University,2,211601
Southeastern Community College Burlington,2,1298998
Southeastern Louisiana University,3,1455521
Southern Adventist University,2,390432
Southern Connecticut State University,2,2042311
Southern Illinois University at Carbondale,29,8207680
Southern Illinois University at Edwardsville,11,6174967
Southern Methodist University,51,23295867
Southern Oregon University,2,1449146
Southern University,13,14790800
Southern University New Orleans,1,50000
Southern University at Shreveport,2,681227
Southern Utah University,8,3655969
Southern West Virginia Community College,2,315462
Southwest Research Institute,7,2090530
Southwestern College,3,2504133
Spartanburg Community College,3,1392006
Spectral Sciences Inc,2,977986
Spelman College,17,16138735
"Spiegel, Daniel David",1,190000
"Spiro, Sam",1,150000
"Spitler, Ryan",2,300000
St Joseph's University,2,1502574
St Jude Children's Research Hospital,6,4413895
St Mary's College of Maryland,4,943101
St Mary's University San Antonio,1,177272
St Peter's University,2,2011179
St. Catherine University,3,719187
St. Cloud State University,2,1242860
St. John Fisher College,3,4887253
St. Norbert College,3,1439809
St. Petersburg College,2,1081261
"Stackhouse, Chavis A",1,300000
Stanford University,259,395331040
"Stanton, Lauren Ashely",1,240000
Stark State College of Technology,1,650000
Startle Innovation LLC,2,1960720
State University of New York College of Technology at Canton,2,450000
"Steigerwald, Emma Cathleen",1,240000
"Stemo, Aaron",1,300000
Stephen F. Austin State University,4,3030632
Stetson University,2,1502998
Stevens Institute of Technology,86,33707290
"Stevens, Madison P",2,241250
Stevenson University,2,299764
Stillman College,3,480000
Stochastic Research Technologies LLC,1,1023331
Stockton University,3,529190
Strategic Energy Innovations,1,99998
Stroud Water Research Center,5,1521480
Suffolk Community College,4,3794521
Suffolk University,4,146290
Sul Ross State University,3,2816379
"Sullivan, Colleen E",1,160000
"Sumner, Brandon C",1,300000
Sunthru LLC,1,1022000
Susquehanna University,1,200170
Sustainable Horizons Institute,4,1895384
"Swanson, Mark T",1,240000
Swarthmore College,13,3523321
"Sweeting, Brandon Scott",2,600000
"Sweeting, Naomi",2,380000
"Swentowsky, Kyle W",1,216000
"Swift, Joel F",1,249000
Swinomish Indian Tribal Community,1,171549
"Symbrosia, Inc.",2,2032000
Syracuse University,126,69536265
"T33 DENTAL, INC.",1,275000
"TEARDX, LLC",1,275000
TECTARIA BIO LLC,2,550000
TEGA Therapeutics Inc,1,1394931
"TEMPRIAN ONCOLOGY, INC.",1,295000
TERC Inc,26,30977500
"TERRA AI, INC",2,548722
"TERRAFERMA FOODS, INC.",1,275000
TERRAFORMA CARBON LLC,1,275000
TFWIRELESS INC.,1,1000000
THE ALLEN INSTITUTE FOR ARTIFICIAL INTELLIGENCE,1,2000000
THERACEA PHARMA LC,1,295000
"THERAFLUOR, INC.",1,274999
THERAPEUTIC BANDAGE PRODUCTS LLC,1,305000
"THERMAQUIL, INC.",1,1199999
THEROMICS INC.,2,2000000
THIOZEN INC.,1,954542
"THOMAS JEFFERSON FOUNDATION, INC.",1,254602
"TISSUEFORM, INC.",1,274822
TMT INTERNATIONAL OBSERVATORY LLC,1,6500000
"TOWARD A BETTER HUMANITY, LLC",2,0
"TRINE UNIVERSITY, INC",1,200000
"TRUSPIN NANOMATERIAL INNOVATION, INC.",1,963349
"Takase, Alberto",1,300000
Talladega College,1,398167
Tallahassee Community College,2,1255070
Tarrant County College District,2,697312
"Teachers College, Columbia University",8,7706131
Teachers Development Group,2,3164238
Temple University,106,51616151
Tempo Therapeutics,1,1000000
"Tenenbaum, Debora",2,480000
Tennessee State University,30,16531287
Tennessee Technological University,26,19639856
Tennessee Wesleyan College,2,184920
Terra State Community College,1,349535
Texas A&M AgriLife Extension Service,1,115213
Texas A&M AgriLife Research,19,7164286
Texas A&M Engineering Experiment Station,182,88951514
Texas A&M International University,6,3204967
Texas A&M Research Foundation,2,41845484
Texas A&M University,226,167666437
Texas A&M University - Central Texas,3,719042
Texas A&M University Corpus Christi,30,24998138
Texas A&M University-Kingsville,12,14498362
Texas A&M University-San Antonio,9,2037935
Texas Christian University,8,1751704
Texas College,2,548258
Texas Lutheran University,3,438072
Texas Southern University,13,7160062
Texas State Technical College,1,637016
Texas State University - San Marcos,51,33197388
Texas Tech University,106,54352125
Texas Tech University Health Science Center,8,2175660
Texas Wesleyan University,1,527170
Texas Woman's University,7,4232080
The Chicago School of Professional Psychology,2,789923
The Children's Hospital of Philadelphia,1,392542
The College Board,1,0
The College of Idaho,2,351296
The College of New Jersey,12,5503718
The Forsyth Institute,1,667017
"The Geological Society of America, Inc.",5,3681815
The Learning Partnership,3,2587203
The Methodist Hospital Research Institute,2,192997
The National GEM Consortium,2,1200000
The New School,2,1856295
The New York City Foundation for Computer Science Education,4,5302266
The Quilt,2,391328
The Research Institute at Nationwide Children's Hospital,4,916490
The Salk Institute for Biological Studies,4,2411035
The Scripps Research Institute,6,5638965
The Texas A&M University System HSC,8,3093300
"The University Corporation, Northridge",55,28867155
The University of Central Florida Board of Trustees,133,70426712
The University of Louisiana at Monroe,2,117926
The University of Montana-Western,1,97614
"The University of Tennessee, Memphis - The Health Science Center",2,717253
The University of Texas Health Science Center at Houston,10,3077156
The University of Texas Health Science Center at Tyler,1,200000
The University of Texas Rio Grande Valley,54,38470001
"Thoma, Eric Michael",2,380000
Thomas Jefferson University,5,1360288
Thurgood Marshall College Fund,2,1083412
Tides Center,1,300000
Tidewater Community College,1,399999
"Tingle, Jessica",1,150000
"Tiptek, LLC",1,274995
Tohono O'odham Community College,1,2609528
Tougaloo College,3,808622
Towson University,13,6917207
Toyota Technological Institute at Chicago,7,3725005
"Transaera, Inc.",1,1407624
Tribal Nations Research Group,2,1284455
Trident Technical College,2,1249511
Trinity College,3,1056868
Trinity University,12,3026996
Troy University,1,23667
Truckee Meadows Community College,2,2136068
Trustees of Boston University,198,193620658
"Tsutsui, Martha Satoko",1,170000
Tufts University,95,44952362
Tulane University,53,38386347
"Tuninetti, Amaro",1,240000
Turtle Mountain Community College,4,4204253
Tuskegee University,32,28156177
Twin Cities Public Television,1,1448995
U.S. Army Corps of Engineers,1,302635
"UBIQUITX, INC.",1,275000
UI LABS,1,48210
ULTROPIA CORP,1,274831
UNIGRID INC.,1,978993
UNITED STATES COAST GUARD ACADEMY SPONSORED PROGRAMS AND RESEARC,1,399131
UNIVERSITY OF ARKANSAS SYSTEM,1,279924
UNLAB LLC,1,275000
URL TO IRL INC.,2,549980
"US Ignite, Inc.",2,4170524
USENIX Association,3,150000
Ulster County Community College,1,349838
"Unger, Ryan C",1,190000
Union College,14,2423649
Union County College,1,318925
United States Air Force Academy,1,27646
United States Naval Academy,3,301313
United Tribes Technical College,10,13339970
Universities Research Association Inc,2,988878
Universities Space Research Association,2,1017365
University Corporation For Atmospheric Res,58,1018164622
University Corporation at Monterey Bay,10,8229182
University Enterprises Corporation at CSUSB,18,11074158
"University Enterprises, Incorporated",25,13346031
University Industry Demonstration Partnership,2,18572540
University of  Puget Sound,7,2144400
University of Akron,27,17637879
University of Alabama Tuscaloosa,150,93001827
University of Alabama at Birmingham,46,33186170
University of Alabama in Huntsville,39,46940770
University of Alaska Anchorage Campus,30,11922865
University of Alaska Fairbanks Campus,124,174750122
University of Alaska Southeast Juneau Campus,6,2041998
University of Arizona,276,204302307
University of Arkansas,93,87696506
University of Arkansas Agricultural Experiment Station,1,943941
University of Arkansas Little Rock,2,1070581
University of Arkansas Medical Sciences Campus,4,3255000
University of Arkansas at Pine Bluff,8,15064302
University of Baltimore,1,119999
University of California - Merced,101,67810579
"University of California, Office of the President, Oakland",3,686981
University of California-Berkeley,359,427332019
University of California-Davis,303,208612558
University of California-Irvine,299,237489688
University of California-Los Angeles,358,225607248
University of California-Riverside,242,153958046
University of California-San Diego,343,434270704
University of California-San Diego Scripps Inst of Oceanography,99,130968220
University of California-San Francisco,34,89141292
University of California-Santa Barbara,259,319524505
University of California-Santa Cruz,165,96391826
University of Central Arkansas,3,1311859
University of Central Oklahoma,2,437361
University of Charleston,2,864598
University of Chicago,279,333490912
University of Cincinnati Main Campus,108,66775940
University of Colorado Boulder,503,546495665
University of Colorado at Colorado Springs,18,8781303
University of Colorado at Denver,27,21365699
University of Colorado at Denver-Downtown Campus,24,11956598
University of Connecticut,202,103574265
University of Connecticut Health Center,3,79768950
University of Dallas,1,200000
University of Dayton,27,8198485
University of Delaware,194,143561312
University of Denver,25,17511698
University of Detroit Mercy,4,1998962
University of Florida,349,221180932
University of Georgia,6,6025507
University of Georgia Research Foundation Inc,228,133542147
University of Hawaii,188,144467166
University of Houston,151,80594600
University of Houston - Clear Lake,5,3943811
University of Houston - Downtown,4,709186
University of Illinois at Chicago,163,119807224
University of Illinois at Urbana-Champaign,463,569651075
University of Iowa,104,57141143
University of Kansas Center for Research Inc,143,108301834
University of Kentucky Research Foundation,138,101507445
University of La Verne,2,776110
University of Louisiana at Lafayette,29,24028999
University of Louisville Research Foundation Inc,51,23922234
University of Maine,81,56032060
University of Maine Farmington,2,800000
University of Maine at Presque Isle,1,102498
University of Mary Washington,2,1597270
University of Maryland Baltimore County,76,61496919
University of Maryland Center for Environmental Sciences,15,20393452
University of Maryland Eastern Shore,12,4603902
University of Maryland at Baltimore,4,1268628
"University of Maryland, College Park",349,272801781
University of Massachusetts Amherst,244,162354352
University of Massachusetts Boston,34,24226771
University of Massachusetts Lowell,64,31745894
University of Massachusetts Medical School,3,1984311
"University of Massachusetts, Dartmouth",38,17063702
University of Memphis,45,21867071
University of Miami,105,59945313
University of Minnesota Duluth,23,8033683
University of Minnesota-Twin Cities,425,306763293
University of Mississippi,48,17828903
University of Mississippi Medical Center,2,307432
University of Missouri-Columbia,132,87974289
University of Missouri-Kansas City,21,9428560
University of Missouri-Saint Louis,10,4592290
University of Montana,53,49730837
University of Nebraska Medical Center,1,900000
University of Nebraska at Omaha,26,13914722
University of Nebraska-Lincoln,209,127282281
University of Nevada Las Vegas,58,29547799
University of New England,2,1074922
University of New Hampshire,81,54663598
University of New Haven,9,10819436
University of New Mexico,151,117917901
University of New Mexico Health Sciences Center,3,1352900
University of New Orleans,15,7467709
University of North Alabama,2,384235
University of North Carolina General Administration Office,1,37468
University of North Carolina Greensboro,33,15201172
University of North Carolina at Asheville,3,692944
University of North Carolina at Chapel Hill,194,158643968
University of North Carolina at Charlotte,107,45272487
University of North Carolina at Pembroke,2,165355
University of North Carolina at Wilmington,35,13134243
University of North Dakota Main Campus,24,14604270
University of North Florida,7,1059602
University of North Georgia,2,624229
University of North Texas,83,37787637
University of North Texas Health Science Center at Fort Worth,4,541265
University of Northern Colorado,7,2712932
University of Northern Iowa,14,8825558
University of Notre Dame,189,186236460
University of Oklahoma Health Sciences Center,3,530436
University of Oklahoma Norman Campus,134,112015982
University of Oregon Eugene,156,129889202
University of Pennsylvania,213,276400447
University of Pittsburgh,185,115214198
University of Portland,5,1573426
University of Rhode Island,116,164231232
University of Richmond,10,3539635
University of Rochester,126,127199205
University of Saint Mary,1,1999985
University of Saint Thomas,3,1681950
University of San Diego,20,7988225
University of San Francisco,4,700579
University of Scranton,7,3381734
University of South Alabama,39,29503514
University of South Carolina at Columbia,163,72594943
University of South Dakota Main Campus,17,8007754
University of South Florida,143,99327360
University of Southern California,268,193311061
University of Southern Indiana,2,324695
University of Southern Maine,7,1894670
University of Southern Mississippi,28,16866439
University of St. Thomas,11,4767932
University of Tampa,3,455516
University of Tennessee Chattanooga,27,17135340
University of Tennessee Institute of Agriculture,9,6448395
University of Tennessee Knoxville,182,123755403
University of Tennessee Martin,2,272014
University of Tennessee Space Institute,1,499999
University of Texas Health Science Center San Antonio,1,603738
University of Texas Medical Branch at Galveston,3,779281
University of Texas Southwestern Medical Center,16,13762551
University of Texas at Arlington,111,55083614
University of Texas at Austin,472,612407957
University of Texas at Dallas,137,74004848
University of Texas at El Paso,98,106578789
University of Texas at San Antonio,77,50374750
University of Texas at Tyler,4,1680357
University of Texas of the Permian Basin,3,1303127
"University of Texas, M.D. Anderson Cancer Center",8,3870887
University of The Incarnate Word,1,135983
University of Toledo,28,11583862
University of Tulsa,15,12111109
University of Utah,274,221511049
University of Vermont & State Agricultural College,62,47402301
University of Virginia Main Campus,229,136360878
University of Washington,512,487304041
University of West Alabama,4,5107932
University of West Florida,3,1108222
University of West Georgia,3,2784325
University of Wisconsin-Eau Claire,7,2301583
University of Wisconsin-Green Bay,2,308440
University of Wisconsin-La Crosse,6,1719830
University of Wisconsin-Madison,469,421097848
University of Wisconsin-Milwaukee,35,25281107
University of Wisconsin-Oshkosh,5,6892867
University of Wisconsin-Parkside,2,439988
University of Wisconsin-Platteville,3,2340124
University of Wisconsin-River Falls,9,3094692
University of Wisconsin-Stevens Point,3,2259738
University of Wisconsin-Stout,2,421238
University of Wisconsin-Superior,2,186176
University of Wyoming,83,100995738
University of the District of Columbia,19,20609848
University of the Pacific,9,2953805
University of the South,2,1239734
"Unzueta, Pablo Andres",1,300000
Urban Institute,2,1300000
Urbanova,1,996486
Ursinus College,7,2741094
Utah State University,77,106064264
Utah Valley University,7,7370171
Utica College,2,2377566
VARIABLES MACHINES COMPANY,1,274579
"VCREATE, INC.",2,2016000
VITRO3D INC.,1,275000
VIVIFI MEDICAL LLC,1,1734999
"VOLEXION, INC.",2,2987902
VOLTELA INC,1,1198695
"VSORTS, INC",1,1023333
VYTAL PLANT SCIENCE RESEARCH,1,1000000
Valdosta State University,2,876906
Valencia Community College,3,1629377
Valparaiso University,10,3166080
Van Andel Research Institute,3,1410000
"Van Etten, Julia",1,240000
"VandeBogert, Keller",1,150000
Vanderbilt University,141,106605729
Vanderbilt University Medical Center,7,2021255
Vassar College,12,4746528
"Vasudevan, Sahana",1,150000
Vaughn College of Aeronautics and Technology,1,284549
"Vemulapalli, Sameera",1,190000
ViQi LLC,1,1696774
Villanova University,49,19827274
Virginia Commonwealth University,58,33375329
Virginia Polytechnic Institute and State University,392,267444952
Virginia State University,7,10509333
Virginia Union University,5,1340938
Virginia Wesleyan University,2,3158215
Virginia Western Community College,1,343209
Voorhees College,1,199966
W E Upjohn Institute for Employment Research,1,86863
W1FB US MILITARY ACADEMY,1,150973
WAIHOME LLC,1,1196056
WATERUS LLC,1,275000
"WAVE LOGIX, INC.",2,1999820
"WAVERLEY CREATIONS, INC.",1,275000
WESTERN WYOMING COMMUNITY COLLEGE DISTRICT,1,337344
WESTMINSTER UNIVERSITY,1,359339
"WETX, INC.",2,1999892
WGBH Educational Foundation,8,13299882
WHITE DWARF RESEARCH CORP,1,189753
WILD MICROBES CO,1,295000
WILO NETWORKS INC.,2,2000000
"WINDWARD ENGINEERING, L.C.",2,544038
WINTER INNOVATIONS INC.,1,1199995
WNET,2,6186934
WORD OF MOUTH TECHNOLOGIES INC.,1,294660
"WUI-GO, LLC",1,274963
Wabash College,1,424670
"Wagner, Nathan A",1,150000
Wake Forest University,20,6590498
Wake Forest University School of Medicine,6,2320954
