awardeeName,count_total,total_obligated_funds
Bemidji State University,4,5574500
Benedict College,4,1592549
Benedictine University,2,544307
Bennington College,1,988237
Bentley University,1,676239
Berea College,3,763910
Berkeley Geochronology Center,6,2305319
"Bernal, Jacob J",1,300000
Bernice P Bishop Museum,3,697907
"Bernstein, Justin Matthew",2,276000
Berry College,4,715320
Beth Israel Deaconess Medical Center,3,2100000
"Bethea, Candace",1,300000
Bethel University,1,243478
Bethune-Cookman University,4,2312326
Bigelow Laboratory for Ocean Sciences,12,10005143
"BioQUEST Curriculum Consortium, Inc",1,533361
"Birch, Sydney",2,480000
Black Hills State University,5,5913386
Bloomfield College,1,199989
"Blum, Mirella L",1,160000
"Blunt, Sarah",2,660000
"Board of Regents, NSHE, obo University of Nevada, Reno",126,72624031
Board of Trustees of Illinois State University,23,8646367
"Bodish, Elijah S",1,150000
Boise State University,91,57507434
"Bolin, Lana Gayle",1,138000
"Boninger, Joseph",1,150000
"Borbee, Erin M",2,276000
"Bornbusch, Sarah Lyons",1,138000
Boston College,63,36215507
Botanical Research Institute of Texas,6,4488956
Botanical Society of America,1,3886870
"Bou-Rabee, Ahmed",1,150000
Bowdoin College,8,3588148
"Bowes, Shauna Marie",1,160000
Bowie State University,19,8402397
Bowling Green State University,16,6619494
Boyce Thompson Institute Plant Research,14,11058551
Bradley University,4,5116018
"Bradley, Noah Patrick",1,240000
Brandeis University,32,50872470
"Brauer, Daniel D",1,300000
"Brauer, Kaley",1,330000
"Brauner, Sarah",1,190000
Bridgerland Applied Technology College,2,1125484
Brigham & Women's Hospital Inc,6,4357604
Brigham Young University,55,35959889
"Brittain, Rebecca Shae Anna",1,165000
"Broad Institute, Inc.",1,669810
Brookdale Community College,3,1843990
Brookings Institution,3,1240752
Broward College,4,2208042
Brown University,182,98444366
"Brown, Jennifer Marie",1,150000
"Brown, Jordan",1,240000
"Brown, Matthew C",1,202000
"Bruno, Sarah Marie Michelle",1,310000
Bryant University,1,649727
Bryn Mawr College,9,8344800
Bucknell University,20,5317776
Bureau of the Census,1,12028564
"Burke, Colin Jacob",2,660000
"Burkhardt, Paula Elisabeth",1,150000
"Busch, Michael Peter",1,320000
Butler University,3,541695
"Butler, Kristina",1,174000
"Butt, Karen",1,190000
CAL POLY HUMBOLDT SPONSORED PROGRAMS FOUNDATION,20,6821556
CANISIUS UNIVERSITY OF BUFFALO NEW YORK,1,350000
"CANOMIKS, INC.",1,998064
CANOPII INC.,1,1699914
"CARAVEL BIO, INC.",1,275000
CARBIDE RADIO INC,2,550000
"CARTESIAN SYSTEMS, INC.",1,1699528
"CAST, Inc.",6,3302999
CATALYST COOPERATIVE,1,319873
CE-RI-SS MATERIALS LLC,1,274919
CELLCHORUS INC.,1,274988
CELLUDOT LLC,1,1151411
CENSYN INC,1,274970
"CENTER ON RURAL INNOVATION, INC",1,300000
CHANGEAERIAL LLC,2,549454
CHIBITRONICS INC.,1,1189688
CHITOVATE LLC,1,274956
CHOSEN DIAGNOSTICS INC,1,999749
CHUGACH REGIONAL RESOURCES COMMISSION,1,98065
"CIRCLEIN, INC.",1,1126190
"CIRCULARITY FUELS, INC.",2,550000
"CISTERNA BIOLOGICS, INC.",2,549960
"CLARIA MEDICAL, INC.",2,2000000
CLUE GENETICS INC.,1,275000
